zip5	dorminant_race	dorminant_income	parents_with_children
01264	white	inc_200k	0.1694915254237288
01266	white	inc_25k_50k	0.2695035460992908
01267	white	inc_100k_150k	0.36508994003997336
01270	white	inc_50k_75k	0.2971887550200803
01301	white	inc_25k	0.41715686274509806
01330	white	inc_25k_50k	0.29708222811671087
01331	white	inc_25k_50k	0.3620134621012584
01337	white	inc_50k_75k	0.361997226074896
01338	white	inc_75k_100k	0.36904761904761907
01339	white	inc_25k_50k	0.29457364341085274
01340	white	inc_50k_75k	0.3179190751445087
01341	white	inc_50k_75k	0.31211498973305957
01342	white	inc_100k_150k	0.39622641509433965
01343	white	inc_25k	0.3026315789473684
01344	white	inc_25k_50k	0.33796296296296297
01346	white	inc_50k_75k	0.3157894736842105
01347	white	inc_25k_50k	0.32
01349	white	inc_50k_75k	0.4713656387665198
01350	white	inc_25k	0.3333333333333333
01351	white	inc_75k_100k	0.34102141680395387
01354	white	inc_25k_50k	0.25132275132275134
01355	white	inc_100k_150k	0.2947761194029851
01360	white	inc_100k_150k	0.38705738705738707
01364	white	inc_25k_50k	0.32574257425742575
01366	white	inc_50k_75k	0.2727272727272727
01367	white	inc_25k_50k	0.35833333333333334
01368	white	inc_100k_150k	0.2415902140672783
01370	white	inc_25k	0.3204633204633205
01373	white	inc_50k_75k	0.38480594549958713
01375	white	inc_50k_75k	0.4235705950991832
01376	white	inc_25k	0.3708999158957107
01378	white	inc_25k_50k	0.2672413793103448
01379	white	inc_25k	0.29523809523809524
01380	white	inc_25k	0.0
01420	white	inc_25k_50k	0.43704340352385046
01430	white	inc_100k_150k	0.3876678876678877
01431	white	inc_100k_150k	0.3191244239631336
01432	white	inc_100k_150k	0.4030662710187933
01434	white	inc_100k_150k	0.8135593220338984
01436	white	inc_100k_150k	0.3317422434367542
01440	white	inc_25k_50k	0.4214027751378065
01450	white	inc_200k	0.42308943089430895
01451	white	inc_200k	0.4550943396226415
01452	white	inc_100k_150k	0.4033412887828162
01453	white	inc_25k	0.47222752433670545
01460	white	inc_200k	0.44976076555023925
01462	white	inc_100k_150k	0.4181878526385662
01463	white	inc_100k_150k	0.40081351689612016
01464	white	inc_50k_75k	0.2841596130592503
01468	white	inc_50k_75k	0.40108191653786707
01469	white	inc_100k_150k	0.4091346153846154
01473	white	inc_100k_150k	0.3758765778401122
01474	white	inc_25k_50k	0.32801822323462415
01475	white	inc_100k_150k	0.4069602272727273
01501	white	inc_100k_150k	0.3333333333333333
01503	white	inc_100k_150k	0.3030646992054484
01504	white	inc_100k_150k	0.4570841889117043
01505	white	inc_100k_150k	0.3948887056883759
01506	white	inc_25k_50k	0.3859020310633214
01507	white	inc_100k_150k	0.42743919103580214
01510	white	inc_25k_50k	0.4199596192673781
01515	white	inc_100k_150k	0.31675874769797424
01516	white	inc_100k_150k	0.4912430585219991
01518	white	inc_100k_150k	0.5606361829025845
01519	white	inc_100k_150k	0.5090311986863711
01520	white	inc_100k_150k	0.43436018957345973
01521	white	inc_100k_150k	0.3561643835616438
01522	white	inc_100k_150k	0.4732041049030787
01523	white	inc_100k_150k	0.40189873417721517
01524	white	inc_100k_150k	0.3071710897797854
01527	white	inc_100k_150k	0.40022296544035674
01529	white	inc_100k_150k	0.4294478527607362
01531	white	inc_100k_150k	0.3848396501457726
01532	white	inc_200k	0.4270411806712687
01534	white	inc_100k_150k	0.42455418381344306
01535	white	inc_100k_150k	0.3954802259887006
01536	white	inc_100k_150k	0.44733984799131377
01537	white	inc_75k_100k	0.46172248803827753
01540	white	inc_25k_50k	0.4255711127487104
01541	white	inc_200k	0.36037934668071653
01542	white	inc_100k_150k	0.37272727272727274
01543	white	inc_100k_150k	0.47818422212428385
